git_path,source_commit,size_bytes,sha256,role,recovery_date
final_dynamic_24a.slx,f8bcd833e816eb681982b7dd04364e4b856948e3,660489,2bed798bcd3d32c15b7771907e8cd5452aa4171a0b87335af7c8769ed6987790,historical_dynamic_only,2026-08-31
final_steady_24a.slx,f8bcd833e816eb681982b7dd04364e4b856948e3,617390,0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391,a1_steady_authority,2026-08-31
runtime/HeXe_property_simulink.m,f8bcd833e816eb681982b7dd04364e4b856948e3,11908,2490785cba7ae3d1f9bb4d4e52621f7b925945aab0f4f93e1a71b504783f5cf2,steady53_runtime_dependency,2026-08-31
runtime/Lithium_property_simulink.m,f8bcd833e816eb681982b7dd04364e4b856948e3,3669,666a3a9d7bcb45e0e80afca4bd30e02bd19098ce72cc56bfe9a5f528c67b4c4f,steady53_runtime_dependency,2026-08-31
runtime/hexe_compressor_lookup.mat,f8bcd833e816eb681982b7dd04364e4b856948e3,26965,f9c85bc1ae831333fac5f868f15a6f82ea1c1716ee17f23dfb301f4618c9f579,steady53_runtime_dependency,2026-08-31
runtime/radiator_table.mat,f8bcd833e816eb681982b7dd04364e4b856948e3,2567,3f6e8a08f6ec9253b84d07f8eff11d2b093f785bafcfde515f2c6af4ec263304,steady53_runtime_dependency,2026-08-31
runtime/turbine_table1.mat,f8bcd833e816eb681982b7dd04364e4b856948e3,2088,10e72638374c530e2032d9bfe39b060d4181b0467bf69e03196efa0b90c4971d,steady53_runtime_dependency,2026-08-31
runtime/turbine_table2.mat,f8bcd833e816eb681982b7dd04364e4b856948e3,3776,6ff94cce373b67a143e9a992ec693ef17a910440eb4218cdf796543ba48c8a38,steady53_runtime_dependency,2026-08-31
runtime/start.m,f8bcd833e816eb681982b7dd04364e4b856948e3,306,0de14c8d7e56e22871800f0c84f6eccd5b00e34ae7c20a3501752f45a09effec,steady53_runtime_dependency,2026-08-31
runtime/sys_param_rad_fixed.m,f8bcd833e816eb681982b7dd04364e4b856948e3,658,bbdcf30dcd2fd7859092af0d85a79ed5dabc6da6c298f1d064ed11d612f30d5b,steady53_runtime_dependency,2026-08-31
runtime/paper54_constants.m,f8bcd833e816eb681982b7dd04364e4b856948e3,1649,545e9b7653b4a47759e746e33a52a184e69c1455911929ce096d1a6eb6558345,steady53_runtime_dependency,2026-08-31
runtime/tests/steady53/create_component_harness.m,f8bcd833e816eb681982b7dd04364e4b856948e3,7755,0f536ffaff9345e5cc85af37bdfa6a385db0e54bd7f0adcedbd81b95fdcd2dd0,steady53_test_helper,2026-08-31
runtime/tests/steady53/steady53_component_boundaries.m,f8bcd833e816eb681982b7dd04364e4b856948e3,3617,8e2092ef2a9a183a7e4b3cd04fc05949d3648de873833391f262eed13f72ed26,steady53_test_helper,2026-08-31
runtime/tests/steady53/steady53_signal_manifest.m,f8bcd833e816eb681982b7dd04364e4b856948e3,7691,7807290de1b02cf4c2e513976a8c95e5780201ce5fdae0bdd97679b0f2e835bd,steady53_test_helper,2026-08-31
runtime/tests/steady53/reset_steady53_property_warning_state.m,f8bcd833e816eb681982b7dd04364e4b856948e3,482,04f1be8b20c3b48f17e468c1dd15a282e15ea08f14f255f5a6f3d269f2d44ff0,steady53_test_helper,2026-08-31
runtime/tests/steady53/run_steady53_case.m,f8bcd833e816eb681982b7dd04364e4b856948e3,19430,6ec6f09c9d6ef32520b28248588d5ba0b31f3cf99acd0f6b0bc5bdff7f45e79a,steady53_test_helper,2026-08-31
