quantity,speed_ratio,point_index,pixel_x,pixel_y,flow_eq_kg_s,value
pressure_ratio,0.5,1,846.000,1393.000,0.149870614179,1.265127215724
pressure_ratio,0.5,2,941.000,1392.000,0.222646672881,1.266815386471
pressure_ratio,0.5,3,1000.000,1403.000,0.267844435654,1.248245508260
pressure_ratio,0.5,4,1048.000,1417.000,0.304615496893,1.224611117810
pressure_ratio,0.5,5,1094.000,1444.000,0.339854430580,1.179030507657
pressure_ratio,0.5,6,1135.000,1475.000,0.371263045388,1.126697214518
pressure_ratio,0.6,1,888.000,1307.000,0.182045292763,1.410309899916
pressure_ratio,0.6,2,994.000,1307.000,0.263248052999,1.410309899916
pressure_ratio,0.6,3,1057.000,1313.000,0.311510070875,1.400180875437
pressure_ratio,0.6,4,1118.000,1325.000,0.358239961199,1.379922826480
pressure_ratio,0.6,5,1153.000,1346.000,0.385052193353,1.344471240805
pressure_ratio,0.6,6,1206.000,1386.000,0.425653573470,1.276944410949
pressure_ratio,0.7,1,1016.000,1200.000,0.280101456067,1.590944169782
pressure_ratio,0.7,2,1101.000,1199.000,0.345216877011,1.592632340528
pressure_ratio,0.7,3,1161.000,1210.000,0.391180703559,1.574062462318
pressure_ratio,0.7,4,1224.000,1234.000,0.439442721435,1.533546364404
pressure_ratio,0.7,5,1279.000,1273.000,0.481576229105,1.467707705294
pressure_ratio,0.7,6,1343.000,1352.000,0.530604310756,1.334342216327
pressure_ratio,0.7,7,1392.000,1441.000,0.568141435771,1.184095019896
pressure_ratio,0.8,1,1104.000,1076.000,0.347515068338,1.800277342337
pressure_ratio,0.8,2,1183.000,1072.000,0.408034106627,1.807030025323
pressure_ratio,0.8,3,1259.000,1081.000,0.466254953588,1.791836488605
pressure_ratio,0.8,4,1337.000,1111.000,0.526007928101,1.741191366212
pressure_ratio,0.8,5,1409.000,1168.000,0.581164519960,1.644965633667
pressure_ratio,0.8,6,1455.000,1257.000,0.616403453647,1.494718437236
pressure_ratio,0.9,1,1228.000,920.000,0.442506976538,2.063631978777
pressure_ratio,0.9,2,1275.000,916.000,0.478511974001,2.070384661763
pressure_ratio,0.9,3,1362.000,938.000,0.545159522497,2.033244905342
pressure_ratio,0.9,4,1432.000,969.000,0.598783986803,1.980911612203
pressure_ratio,0.9,5,1521.000,1064.000,0.666963662850,1.820535391294
pressure_ratio,0.9,6,1603.000,1322.000,0.729780892467,1.384987338719
pressure_ratio,1.0,1,1361.600,725.200,0.544853096986,2.392487640178
pressure_ratio,1.0,2,1430.800,741.400,0.597864710272,2.365139274087
pressure_ratio,1.0,3,1496.600,765.400,0.648271706721,2.324623176173
pressure_ratio,1.0,4,1579.900,816.800,0.712084819246,2.237851199807
pressure_ratio,1.0,5,1701.400,1080.000,0.805161568006,1.793524659351
efficiency,0.5,1,742.000,1882.000,0.149384912231,0.709440104167
efficiency,0.5,2,838.000,1806.000,0.222826712687,0.773763020833
efficiency,0.5,3,894.000,1783.000,0.265667762952,0.793229166667
efficiency,0.5,4,991.000,1960.000,0.339874582163,0.643424479167
efficiency,0.5,5,1032.000,2138.000,0.371240351107,0.492773437500
efficiency,0.6,1,785.000,1901.000,0.182280718685,0.693359375000
efficiency,0.6,2,955.000,1765.000,0.312333906992,0.808463541667
efficiency,0.6,3,1013.000,1777.000,0.356704994767,0.798307291667
efficiency,0.6,4,1049.000,1814.000,0.384245669938,0.766992187500
efficiency,0.6,5,1103.000,1946.000,0.425556682694,0.655273437500
efficiency,0.7,1,915.000,1829.000,0.281733156802,0.754296875000
efficiency,0.7,2,994.000,1782.000,0.342169638427,0.794075520833
efficiency,0.7,3,1060.000,1759.000,0.392660876240,0.813541666667
efficiency,0.7,4,1123.000,1779.000,0.440857057789,0.796614583333
efficiency,0.7,5,1180.000,1851.000,0.484463126809,0.735677083333
efficiency,0.7,6,1241.000,2049.000,0.531129270848,0.568098958333
efficiency,0.7,7,1287.000,2322.000,0.566320133567,0.337044270833
efficiency,0.8,1,1005.000,1823.000,0.350584844729,0.759375000000
efficiency,0.8,2,1082.000,1759.000,0.409491288844,0.813541666667
efficiency,0.8,3,1150.000,1750.000,0.461512564167,0.821158854167
efficiency,0.8,4,1229.000,1766.000,0.521949045791,0.807617187500
efficiency,0.8,5,1293.000,1853.000,0.570910246095,0.733984375000
efficiency,0.8,6,1347.000,2007.000,0.612221258851,0.603645833333
efficiency,0.9,1,1124.000,1812.000,0.441622076543,0.768684895833
efficiency,0.9,2,1170.000,1776.000,0.476812939262,0.799153645833
efficiency,0.9,3,1259.000,1764.000,0.544899608434,0.809309895833
efficiency,0.9,4,1326.000,1773.000,0.596155865002,0.801692708333
efficiency,0.9,5,1423.000,1865.000,0.670362684212,0.723828125000
efficiency,0.9,6,1497.000,2254.000,0.726974072063,0.394596354167
efficiency,1.0,1,1260.900,1785.000,0.546353144068,0.791536458333
efficiency,1.0,2,1325.700,1768.600,0.595926359375,0.805416666667
efficiency,1.0,3,1396.700,1763.800,0.650242690962,0.809479166667
efficiency,1.0,4,1479.000,1784.400,0.713203734477,0.792044270833
efficiency,1.0,5,1598.000,2035.500,0.804240966292,0.579524739583
