name,value,unit,status,source_class,source_document,source_location,derivation,notes
gam,1.667,1,direct,published_literal,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.5, Symbols","Published argon specific-heat ratio","Source-fluid value for reproducing the published argon map; not the target He-Xe property"
rgas,208.13,J/(kg K),direct,published_literal,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.5, Symbols","Published argon gas constant","Source-fluid value for reproducing the published argon map"
pop,41400,Pa,calculated,repeatable_calculation,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.4 and p.6, inlet conditions","4.14 N/cm^2 * 10000 cm^2/m^2 = 41400 Pa","The parallel 6 psia value is rounded"
top,298,K,direct,published_literal,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.4 and p.6, inlet conditions","Published inlet total temperature","Source test condition"
n,38500,rpm,direct,published_literal,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.6, compressor design table","Published physical design rotative speed","D-7487 N is physical design speed; 37900 rpm is the separately published equivalent speed"
dit,0.100,m,direct,published_literal,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.7, Compressor Design","Published 10 cm inducer inlet tip diameter","Cross-check: CR-72533 Fig.1 2.605 in scaled by 6.44/4.25 gives 3.948 in"
mu0,2.28638885134e-05,Pa s,calculated,repeatable_calculation,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.5 Symbols and p.6 design table","rho0 = 41400/(208.13*298) = 0.667497114768 kg/m^3; mu0 = rho0*(330 m/s)*(0.164 m)/(1.58e6) = 2.28638885134e-5 Pa s","Independent TM X-2129 design data give 2.29811707274e-5 Pa s from Re=3.1e6; agreement is within the reports' printed precision"
cf,,1,missing,unresolved,,,,"D-7487 treats Cf as an input; 0.004 belongs to its different 72000 rpm air example"
vovcr,,1,missing,unresolved,,,,"This numerical sweep must be generated from a documented coverage rule after the target geometry is complete"
nvovcr,,count,missing,unresolved,,,,"Must equal the eventual sourced or deterministically generated vovcr array length"
drat,0.609756097560976,1,calculated,repeatable_calculation,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.7, Compressor Design","D1T/D3 = 10.0 cm / 16.4 cm","Uses two dimensions published for the same compressor"
lamx,0.556,1,calculated,repeatable_calculation,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.7, Compressor Design","D1H/D1T = 5.56 cm / 10.0 cm","Uses two dimensions published for the same compressor"
b2x,30,deg,direct,published_literal,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.7, Compressor Design","Published exit backsweep 30 deg from radial","At a centrifugal-impeller exit the D-7487 meridional direction is radial"
z,15,count,direct,published_literal,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.7, Compressor Design","Published number of impeller blades","D-7487 counts exit blades including splitters"
vldrr,1.04,1,calculated,repeatable_calculation,NASA-CR-72533-AiResearch-1967.pdf,"PDF p.11 Fig.1 and p.17 Fig.4","D4/D3 = 4.420 in / 4.250 in = 1.04","TM X-2269 states the 6.44 in and 4.25 in compressors are identical scale models; its rounded 0.33 cm radial gap gives 1.04024"
b2,0.0079,m,direct,published_literal,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.7, Compressor Design","Published 0.79 cm impeller exit blade height","Cross-check: CR-72533 Fig.1 0.205 in scaled by 6.44/4.25 gives 0.3107 in"
b1mfb,,deg,missing,unresolved,,,,"TM X-2269 Fig.1 gives a 61.6 deg mean relative-velocity direction but does not explicitly identify it as the inducer metal blade angle required by D-7487"
ar,,1,missing,unresolved,,,,"Published inlet and exit velocity triangles permit an effective flow-area ratio calculation but do not yet prove the geometric A6/A5 required by D-7487"
block,,1,missing,unresolved,,,,"An effective open-area fraction can be calculated from mass flow and the inlet triangle but equivalence to the D-7487 rms blockage function has not been established"
al3,,deg,missing,unresolved,,,,"TM X-2269 Fig.2 gives a 73.5 deg inlet flow angle and CR-72533 Fig.3 gives 70.7 deg at another design condition; neither is explicitly the vane metal setting angle"
adth,,m^2,missing,unresolved,,,,"A flow area can be inferred from CR-72533 Table I and Fig.3 but the geometric total throat area A5 required by D-7487 is not directly identified"
nondes,1.0,1,algorithm_control,algorithm_definition,NASA-TN-D-7487-Galvas-1973.pdf,"report p.12 Program Input and Appendix B","NONDES = N/N_DES = 1.0 for the design-speed validation run","This does not approve extrapolation above the measured 100 percent line"
splt,,0_or_1,missing,unresolved,,,,"The reports publish 15 exit blades but do not explicitly state whether the D-7487 splitter correlation switch is 0 or 1"
al1mf,0,deg,calculated,repeatable_calculation,NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf,"PDF p.7 Fig.1(a), impeller inlet velocity triangles","The published inlet absolute velocity has only a meridional component; atan(Vu/Vm) = atan(0/Vm) = 0 deg","This is the solid-body inlet swirl angle and is distinct from the relative-flow angle"
curvh,,1/m,missing,unresolved,,,,"CR-72533 Fig.1 shows meridional shape but no numerical hub curvature at the inducer inlet"
curvt,,1/m,missing,unresolved,,,,"CR-72533 Fig.1 shows meridional shape but no numerical tip curvature at the inducer inlet"
chih,,deg,missing,unresolved,,,,"No numerical inducer inlet hub-wall slope has been located"
chit,,deg,missing,unresolved,,,,"No numerical inducer inlet tip-wall slope has been located"
