quantity,status,published_value_or_gap,source_and_scope
electrical_power,thesis_direct,1.0 MWe,"Xu thesis Table 3.1; system design target"
secondary_coolant,thesis_direct,NaK,"Xu thesis section 2.4.4 and Table 3.1"
NaK_molar_mass,thesis_direct,35.45 g/mol,"Xu thesis Table 3.1"
NaK_composition,thesis_direct,77.8% K,"Xu thesis Table 3.1; reference [41] identifies NaK-78"
NaK_loop_pressure,thesis_direct,0.20 MPa,"Xu thesis Table 3.1"
NaK_temperature_initial_design,thesis_direct,350 K,"Xu thesis Table 3.1; not scheme-B final value"
NaK_temperature_scheme_B,thesis_direct,360 K,"Xu thesis Table 4.9"
cooler_NaK_endpoints,thesis_direct,360.10 to 609.58 K,"Xu thesis Table 5.2"
cooler_duty,thesis_direct,1622.00 kW,"Xu thesis Table 5.2"
radiator_balance_equation,thesis_direct,"Q=epsilon*sigma*A_rad*(T^4-T0^4)","Xu thesis Eq. 2.63 citing NASA/TM-2007-215003"
radiator_mass_equation,thesis_direct,M_rad=kappa*A_rad,"Xu thesis Eq. 2.64 citing NASA/TM-2008-215420"
NaK_mass_flow,author_implementation_missing,not published,"Required input named in Xu thesis section 5.2.1.4; no numeric value recovered from thesis or repository history"
radiator_emissivity,author_implementation_missing,not published,"Symbol defined in Eq. 2.63; no scheme-B numeric value recovered"
radiator_specific_mass_branch,author_implementation_missing,not published,"No selected material/fin density/one-vs-two-sided branch given for scheme B"
radiator_radiating_area,author_implementation_missing,not published,"No scheme-B numeric A_rad recovered; Figure 4.10 is an output mass breakdown"
radiator_internal_exchange_area,author_implementation_missing,not published,"Eq. 5.15 uses A while Eq. 5.16 uses A_rad; equality is not established"
radiator_heat_transfer_coefficient,author_implementation_missing,not published,"No h_i/h_r or geometry for scheme B recovered"
radiator_wall_material,author_implementation_missing,not published,"No scheme-B material grade recovered"
radiator_wall_heat_capacity,author_implementation_missing,not published,"No scheme-B cp or effective thermal mass recovered"
pump_flow_pressure_drop_design,author_implementation_missing,not published,"No scheme-B pump curve/flow/pressure-drop implementation recovered"
optimization_source_code,author_implementation_missing,not published,"No author optimization program or parameter file exists in the thesis package or Git history"
