row_id,branch_id,kappa_kg_m2,technology_maturity,flow_case,m_dot_NaK_kg_s,epsilon_case,epsilon,sink_case,T_sink_K,h_case,h_W_m2K,Q_NaK_W,Twall_K,A_exchange_m2,A_rad_m2,UA_W_K,M_rad_kg,mass_margin_kg,exchange_residual_W,radiation_residual_W,condition_status,evidence_status_per_input,rejection_reasons
T300_fd1p45_one__project_flow__NASA_surface_0p85__NASA_120_example__legacy_inverse,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,legacy_inverse,9.755,1580132.9924937414,417.49260831144943,1139.1818644271973,1139.1818644271973,11112.71908748731,4807.347467882772,-157.34746788277243,0.0,-1.862645149230957e-09,rejected,tested|project_boundary|other_system_anchor|other_system_anchor|conditional_inverse,"[""mass_above_4650_kg""]"
T300_fd1p45_one__project_flow__NASA_surface_0p85__NASA_120_example__NASA_120_low,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_low,200.0,1580132.9924937414,539.634708369718,394.06205007940076,394.06205007940076,78812.41001588016,1662.941851335071,2987.058148664929,0.0,1.1641532182693481e-09,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_one__project_flow__NASA_surface_0p85__NASA_120_example__NASA_120_high,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_high,600.0,1580132.9924937414,552.3365774998585,358.43249621739307,358.43249621739307,215059.49773043583,1512.5851340373986,3137.4148659626017,-2.3283064365386963e-10,9.313225746154785e-10,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_one__project_flow__NASA_surface_0p85__legacy_project__legacy_inverse,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p85,0.85,legacy_project,225.0,legacy_inverse,9.755,1580132.9924937414,419.43579521383174,1154.9656192478844,1154.9656192478844,11266.689615763113,4873.954913226072,-223.95491322607177,0.0,0.0,rejected,tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse,"[""mass_above_4650_kg""]"
T300_fd1p45_one__project_flow__NASA_surface_0p85__legacy_project__NASA_120_low,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_low,200.0,1580132.9924937414,539.8362030850687,398.06256565055344,398.06256565055344,79612.51313011069,1679.8240270453355,2970.1759729546648,0.0,-1.0477378964424133e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_one__project_flow__NASA_surface_0p85__legacy_project__NASA_120_high,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_high,600.0,1580132.9924937414,552.4099485533318,362.04789130214436,362.04789130214436,217228.73478128662,1527.8421012950491,3122.1578987049506,0.0,1.979060471057892e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_one__project_flow__NASA_surface_0p90__NASA_120_example__legacy_inverse,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,legacy_inverse,9.755,1580132.9924937414,414.152930192638,1113.0396753330726,1113.0396753330726,10857.702032874124,4697.027429905566,-47.02742990556635,0.0,-4.656612873077393e-10,rejected,tested|project_boundary|other_system_anchor|other_system_anchor|conditional_inverse,"[""mass_above_4650_kg""]"
T300_fd1p45_one__project_flow__NASA_surface_0p90__NASA_120_example__NASA_120_low,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_low,200.0,1580132.9924937414,538.6179478919078,375.0425054457044,375.0425054457044,75008.50108914089,1582.6793729808726,3067.3206270191276,2.3283064365386963e-10,-5.3551048040390015e-09,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_one__project_flow__NASA_surface_0p90__NASA_120_example__NASA_120_high,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_high,600.0,1580132.9924937414,551.9277843311054,339.54122730897,339.54122730897,203724.736385382,1432.8639792438532,3217.1360207561465,2.3283064365386963e-10,2.1420419216156006e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_one__project_flow__NASA_surface_0p90__legacy_project__legacy_inverse,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,legacy_inverse,9.755,1580132.9924937414,416.1699155135301,1128.6826325713844,1128.6826325713844,11010.299080733856,4763.040709451242,-113.04070945124204,0.0,9.313225746154785e-10,rejected,tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse,"[""mass_above_4650_kg""]"
T300_fd1p45_one__project_flow__NASA_surface_0p90__legacy_project__NASA_120_low,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_low,200.0,1580132.9924937414,538.8298206614115,378.852834925483,378.852834925483,75770.56698509661,1598.7589633855382,3051.241036614462,0.0,6.51925802230835e-09,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_one__project_flow__NASA_surface_0p90__legacy_project__NASA_120_high,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_high,600.0,1580132.9924937414,552.0052465589806,342.9664733628856,342.9664733628856,205779.88401773135,1447.3185175913773,3202.6814824086227,0.0,2.3981556296348572e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p85__NASA_120_example__legacy_inverse,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,NASA_120_example,200.0,legacy_inverse,9.755,1622000.000053536,417.49260831144943,1169.365485651816,1169.365485651816,11407.160312533466,4934.722349450663,-284.7223494506634,0.0,-1.862645149230957e-09,rejected,tested|conditional|other_system_anchor|other_system_anchor|conditional_inverse,"[""mass_above_4650_kg""]"
