candidate_id,source_row_id,branch_id,kappa_kg_m2,technology_maturity,role_id,flow_case,m_dot_NaK_kg_s,epsilon_case,epsilon,sink_case,T_sink_K,h_case,h_W_m2K,evidence_status_per_input,cp_proxy_J_kgK,cp_identity,Q_NaK_W,Twall_condition_K,A_exchange_m2,A_rad_m2,UA_W_K,M_rad_kg,mass_margin_kg,C_eff_proxy_J_K,G_effective_W_K,tau_predicted_s,timescale_relation,eligible_for_slx,rejection_reasons,input_provenance,unit_contract_ref,source_contract_ref,equation_version,spec_path,spec_sha256,generator_sha256,contract_module_sha256,math_module_sha256,run_time_record,paper_reproduced,formal_promotion
T300_fd1p45_one__legacy_transfer,T300_fd1p45_one__project_flow__NASA_surface_0p90__legacy_project__legacy_inverse,T300_fd1p45_one,4.22,tested,legacy_transfer,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,legacy_inverse,9.755,tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse,900.0,sensitivity_proxy,1580132.9924937414,416.1699155135301,1128.6826325713844,1128.6826325713844,11010.299080733856,4763.040709451242,-113.04070945124204,4286736.638506118,27616.467915253503,155.22392840608012,above_150_s,false,"[""mass_above_4650_kg"", ""source_row_not_eligible""]","{""branch"": {""branch_id"": ""T300_fd1p45_one"", ""kappa_kg_m2"": 4.22, ""technology_maturity"": ""tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 900.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p90"", ""evidence_status_per_input"": ""tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse"", ""flow_case"": ""project_flow"", ""h_case"": ""legacy_inverse"", ""sink_case"": ""legacy_project""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
T300_fd1p45_one__conservative_source,T300_fd1p45_one__energy_closure_flow__NASA_surface_0p85__legacy_project__NASA_120_low,T300_fd1p45_one,4.22,tested,conservative_source,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_low,200.0,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,1000.0,sensitivity_proxy,1622000.000053536,539.8362030850687,408.6095819615422,408.6095819615422,81721.91639230844,1724.332435877708,2925.667564122292,1724332.4358777078,94114.34830948351,18.321674291442275,below_120_s,true,[],"{""branch"": {""branch_id"": ""T300_fd1p45_one"", ""kappa_kg_m2"": 4.22, ""technology_maturity"": ""tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 1000.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p85"", ""evidence_status_per_input"": ""tested|conditional|other_system_anchor|project_boundary|other_system_anchor"", ""flow_case"": ""energy_closure_flow"", ""h_case"": ""NASA_120_low"", ""sink_case"": ""legacy_project""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
T300_fd1p45_one__optimistic_source,T300_fd1p45_one__project_flow__NASA_surface_0p90__NASA_120_example__NASA_120_high,T300_fd1p45_one,4.22,tested,optimistic_source,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_high,600.0,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,777.0,sensitivity_proxy,1580132.9924937414,551.9277843311054,339.54122730897,339.54122730897,203724.736385382,1432.8639792438532,3217.1360207561465,1113335.311872474,215377.3902308099,5.169230208794732,below_120_s,true,[],"{""branch"": {""branch_id"": ""T300_fd1p45_one"", ""kappa_kg_m2"": 4.22, ""technology_maturity"": ""tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 777.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p90"", ""evidence_status_per_input"": ""tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor"", ""flow_case"": ""project_flow"", ""h_case"": ""NASA_120_high"", ""sink_case"": ""NASA_120_example""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
T300_fd1p45_two__legacy_transfer,T300_fd1p45_two__project_flow__NASA_surface_0p90__legacy_project__legacy_inverse,T300_fd1p45_two,2.11,tested,legacy_transfer,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,legacy_inverse,9.755,tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse,900.0,sensitivity_proxy,1580132.9924937414,416.1699155135301,1128.6826325713844,1128.6826325713844,11010.299080733856,2381.520354725621,2268.479645274379,2143368.319253059,27616.467915253503,77.61196420304006,below_120_s,true,[],"{""branch"": {""branch_id"": ""T300_fd1p45_two"", ""kappa_kg_m2"": 2.11, ""technology_maturity"": ""tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 900.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p90"", ""evidence_status_per_input"": ""tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse"", ""flow_case"": ""project_flow"", ""h_case"": ""legacy_inverse"", ""sink_case"": ""legacy_project""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
T300_fd1p45_two__conservative_source,T300_fd1p45_two__energy_closure_flow__NASA_surface_0p85__legacy_project__NASA_120_low,T300_fd1p45_two,2.11,tested,conservative_source,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_low,200.0,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,1000.0,sensitivity_proxy,1622000.000053536,539.8362030850687,408.6095819615422,408.6095819615422,81721.91639230844,862.166217938854,3787.833782061146,862166.2179388539,94114.34830948351,9.160837145721137,below_120_s,true,[],"{""branch"": {""branch_id"": ""T300_fd1p45_two"", ""kappa_kg_m2"": 2.11, ""technology_maturity"": ""tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 1000.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p85"", ""evidence_status_per_input"": ""tested|conditional|other_system_anchor|project_boundary|other_system_anchor"", ""flow_case"": ""energy_closure_flow"", ""h_case"": ""NASA_120_low"", ""sink_case"": ""legacy_project""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
T300_fd1p45_two__optimistic_source,T300_fd1p45_two__project_flow__NASA_surface_0p90__NASA_120_example__NASA_120_high,T300_fd1p45_two,2.11,tested,optimistic_source,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_high,600.0,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,777.0,sensitivity_proxy,1580132.9924937414,551.9277843311054,339.54122730897,339.54122730897,203724.736385382,716.4319896219266,3933.5680103780733,556667.655936237,215377.3902308099,2.584615104397366,below_120_s,true,[],"{""branch"": {""branch_id"": ""T300_fd1p45_two"", ""kappa_kg_m2"": 2.11, ""technology_maturity"": ""tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 777.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p90"", ""evidence_status_per_input"": ""tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor"", ""flow_case"": ""project_flow"", ""h_case"": ""NASA_120_high"", ""sink_case"": ""NASA_120_example""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
P95_WG_fd1p45_two__legacy_transfer,P95_WG_fd1p45_two__project_flow__NASA_surface_0p90__legacy_project__legacy_inverse,P95_WG_fd1p45_two,1.57,built_not_tested,legacy_transfer,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,legacy_inverse,9.755,built_not_tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse,900.0,sensitivity_proxy,1580132.9924937414,416.1699155135301,1128.6826325713844,1128.6826325713844,11010.299080733856,1772.0317331370736,2877.9682668629266,1594828.5598233663,27616.467915253503,57.749186634489526,below_120_s,true,[],"{""branch"": {""branch_id"": ""P95_WG_fd1p45_two"", ""kappa_kg_m2"": 1.57, ""technology_maturity"": ""built_not_tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 900.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p90"", ""evidence_status_per_input"": ""built_not_tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse"", ""flow_case"": ""project_flow"", ""h_case"": ""legacy_inverse"", ""sink_case"": ""legacy_project""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
P95_WG_fd1p45_two__conservative_source,P95_WG_fd1p45_two__energy_closure_flow__NASA_surface_0p85__legacy_project__NASA_120_low,P95_WG_fd1p45_two,1.57,built_not_tested,conservative_source,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_low,200.0,built_not_tested|conditional|other_system_anchor|project_boundary|other_system_anchor,1000.0,sensitivity_proxy,1622000.000053536,539.8362030850687,408.6095819615422,408.6095819615422,81721.91639230844,641.5170436796212,4008.482956320379,641517.0436796212,94114.34830948351,6.816357497053169,below_120_s,true,[],"{""branch"": {""branch_id"": ""P95_WG_fd1p45_two"", ""kappa_kg_m2"": 1.57, ""technology_maturity"": ""built_not_tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 1000.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p85"", ""evidence_status_per_input"": ""built_not_tested|conditional|other_system_anchor|project_boundary|other_system_anchor"", ""flow_case"": ""energy_closure_flow"", ""h_case"": ""NASA_120_low"", ""sink_case"": ""legacy_project""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
P95_WG_fd1p45_two__optimistic_source,P95_WG_fd1p45_two__project_flow__NASA_surface_0p90__NASA_120_example__NASA_120_high,P95_WG_fd1p45_two,1.57,built_not_tested,optimistic_source,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_high,600.0,built_not_tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,777.0,sensitivity_proxy,1580132.9924937414,551.9277843311054,339.54122730897,339.54122730897,203724.736385382,533.0797268750829,4116.920273124917,414202.9477819394,215377.3902308099,1.92314962744259,below_120_s,true,[],"{""branch"": {""branch_id"": ""P95_WG_fd1p45_two"", ""kappa_kg_m2"": 1.57, ""technology_maturity"": ""built_not_tested""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 777.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p90"", ""evidence_status_per_input"": ""built_not_tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor"", ""flow_case"": ""project_flow"", ""h_case"": ""NASA_120_high"", ""sink_case"": ""NASA_120_example""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
APG_fd1p00_two__legacy_transfer,APG_fd1p00_two__project_flow__NASA_surface_0p90__legacy_project__legacy_inverse,APG_fd1p00_two,0.92,projected,legacy_transfer,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,legacy_inverse,9.755,projected|project_boundary|other_system_anchor|project_boundary|conditional_inverse,900.0,sensitivity_proxy,1580132.9924937414,416.1699155135301,1128.6826325713844,1128.6826325713844,11010.299080733856,1038.3880219656737,3611.611978034326,934549.2197691064,27616.467915253503,33.840287709382395,below_120_s,true,[],"{""branch"": {""branch_id"": ""APG_fd1p00_two"", ""kappa_kg_m2"": 0.92, ""technology_maturity"": ""projected""}, ""cp_proxy"": {""evidence"": ""approved_engineering_sensitivity_axis"", ""identity"": ""sensitivity_proxy"", ""value_J_kgK"": 900.0}, ""static_inputs"": {""epsilon_case"": ""NASA_surface_0p90"", ""evidence_status_per_input"": ""projected|project_boundary|other_system_anchor|project_boundary|conditional_inverse"", ""flow_case"": ""project_flow"", ""h_case"": ""legacy_inverse"", ""sink_case"": ""legacy_project""}}",source_contract/unit_contract.json,source_contract/source_contract.json,radiator_a1_static_v1,docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md,d527b075ec8634ad3b1b548da29cdad18a29f3c20f338ff3b044b34c1605f866,a0045644d2507e8bd985896c5609c61f628322e7c207dcaacd26ffae9ab39974,14b7746e88f176ecdb321932d5e0c63c7de2c635c28627e8684fd3db749df490,574136a34447bded0f96890180906b1d6e70ed8fe4566a2b5e0d811d69c24f16,"{""mode"": ""deferred_to_execution_stage"", ""reason"": ""deterministic_offline_core"", ""wall_clock_utc"": null}",false,false
