x_px,wall_y_px,outlet_y_px,time_s,wall_K,outlet_K
5.520000000000000000e+02,8.980000000000000000e+02,9.330000000000000000e+02,4.629629629629629761e+00,2.836448598130841106e+02,2.509345794392523317e+02
5.560000000000000000e+02,8.800000000000000000e+02,9.175000000000000000e+02,8.333333333333333925e+00,3.004672897196261374e+02,2.654205607476635578e+02
5.600000000000000000e+02,8.630000000000000000e+02,9.040000000000000000e+02,1.203703703703703631e+01,3.163551401869158894e+02,2.780373831775700637e+02
5.660000000000000000e+02,8.435000000000000000e+02,8.880000000000000000e+02,1.759259259259259167e+01,3.345794392523364422e+02,2.929906542056074841e+02
5.750000000000000000e+02,8.190000000000000000e+02,8.665000000000000000e+02,2.592592592592592737e+01,3.574766355140187102e+02,3.130841121495327002e+02
5.900000000000000000e+02,7.900000000000000000e+02,8.450000000000000000e+02,3.981481481481481666e+01,3.845794392523364422e+02,3.331775700934579163e+02
6.100000000000000000e+02,7.700000000000000000e+02,8.295000000000000000e+02,5.833333333333333570e+01,4.032710280373831893e+02,3.476635514018691424e+02
6.300000000000000000e+02,7.615000000000000000e+02,8.235000000000000000e+02,7.685185185185184764e+01,4.112149532710280369e+02,3.532710280373831893e+02
6.550000000000000000e+02,7.565000000000000000e+02,8.200000000000000000e+02,1.000000000000000000e+02,4.158878504672896952e+02,3.565420560747663785e+02
6.800000000000000000e+02,7.555000000000000000e+02,8.195000000000000000e+02,1.231481481481481524e+02,4.168224299065420837e+02,3.570093457943925159e+02
7.100000000000000000e+02,7.545000000000000000e+02,8.185000000000000000e+02,1.509259259259259238e+02,4.177570093457944154e+02,3.579439252336448476e+02
7.500000000000000000e+02,7.545000000000000000e+02,8.185000000000000000e+02,1.879629629629629619e+02,4.177570093457944154e+02,3.579439252336448476e+02
