panel_id,trace_id,x_px,y_px,time_s,power_kW,selection_method,power_allowance_kW,time_allowance_s
a,fig5.19-a,185,412.000000,10.0,3186.507937,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,189,419.500000,15.0,3126.984127,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,192,427.500000,20.0,3063.492063,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,198,440.000000,30.0,2964.285714,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,205,449.000000,40.0,2892.857143,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,211,455.500000,50.0,2841.269841,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,228,466.000000,75.0,2757.936508,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,244,471.500000,100.0,2714.285714,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,276,476.000000,150.0,2678.571429,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,309,477.000000,200.0,2670.634921,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,328,477.500000,230.0,2666.666667,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,373,478.000000,300.0,2662.698413,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,438,477.500000,400.0,2666.666667,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,471,478.000000,450.0,2662.698413,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
a,fig5.19-a,500,477.500000,495.0,2666.666667,three-column dark-ink contiguous-group continuity; uppermost tie-break,25.0,3
b,fig5.19-b,562,420.000000,10.0,2130.578512,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,565,406.500000,15.0,2158.471074,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,568,397.000000,20.0,2178.099174,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,574,390.500000,30.0,2191.528926,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,581,387.000000,40.0,2198.760331,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,588,385.000000,50.0,2202.892562,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,604,383.000000,75.0,2207.024793,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,620,381.500000,100.0,2210.123967,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,652,380.500000,150.0,2212.190083,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,685,380.500000,200.0,2212.190083,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,704,380.500000,230.0,2212.190083,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,750,380.500000,300.0,2212.190083,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,815,380.500000,400.0,2212.190083,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,848,380.500000,450.0,2212.190083,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
b,fig5.19-b,877,380.500000,495.0,2212.190083,three-column dark-ink contiguous-group continuity; uppermost tie-break,6.0,3
c,fig5.19-c,185,787.000000,10.0,1238.000000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,189,834.000000,15.0,1191.000000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,192,853.500000,20.0,1171.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,198,861.000000,30.0,1164.000000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,205,854.000000,40.0,1171.000000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,211,846.500000,50.0,1178.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,228,831.500000,75.0,1193.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,244,823.500000,100.0,1201.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,276,816.500000,150.0,1208.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,309,814.500000,200.0,1210.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,328,814.000000,230.0,1211.000000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,373,814.000000,300.0,1211.000000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,438,813.500000,400.0,1211.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,471,813.500000,450.0,1211.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
c,fig5.19-c,500,813.500000,495.0,1211.500000,three-column dark-ink contiguous-group continuity; uppermost tie-break,3.0,3
d,fig5.19-d,562,791.500000,10.0,897.991071,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
d,fig5.19-d,565,759.500000,15.0,969.419643,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
d,fig5.19-d,568,743.500000,20.0,1005.133929,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
d,fig5.19-d,575,733.500000,30.0,1027.455357,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
d,fig5.19-d,581,733.500000,40.0,1027.455357,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
d,fig5.19-d,588,735.500000,50.0,1022.991071,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
d,fig5.19-d,604,740.500000,75.0,1011.830357,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
d,fig5.19-d,620,742.500000,100.0,1007.366071,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
d,fig5.19-d,653,744.500000,150.0,1002.901786,three-column dark-ink contiguous-group continuity; uppermost tie-break,8.0,3
