relative_path	area	evidence_role	sha256	same_bytes_as_root_model	inventory_date
.worktrees/rotating-map-candidate-a/data/provenance/baselines/f8bcd83/final_dynamic_24a.slx	.worktrees	按位置登记；用途及有效性待逐项核实	2bed798bcd3d32c15b7771907e8cd5452aa4171a0b87335af7c8769ed6987790	false	2026-09-07
.worktrees/rotating-map-candidate-a/data/provenance/baselines/f8bcd83/final_steady_24a.slx	.worktrees	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
.worktrees/rotating-map-candidate-a/final_steady_24a.slx	.worktrees	按位置登记；用途及有效性待逐项核实	31745b6487234b64938f9b61131910599db75a1b53e3d1099b8585d0b7b4e8aa	true	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/fig519_reactor_ic_20260831_A1/candidate.slx	.worktrees	按位置登记；用途及有效性待逐项核实	957273d1efcdfea35831dbf81bcd09085c6b4d178f7a8fcc7f1f62bcbecbd24e	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/fig519_reactor_ic_20260901_A2/candidate.slx	.worktrees	按位置登记；用途及有效性待逐项核实	1b142a979b4891c833e8625161b1cc75342064326124679458e2d6436f670511	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/rotating_map_candidate_A_20260902/models/C0_model.slx	.worktrees	按位置登记；用途及有效性待逐项核实	592ae988af80514a79575089390c63102946d22326082f22d84645ae61ef5f33	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/rotating_map_candidate_A_20260902/models/C1_model.slx	.worktrees	按位置登记；用途及有效性待逐项核实	4e324a1f21e024c2ebd8e1291350f459d787c8815024e3e243246ebabf2d5be5	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/rotating_map_candidate_A_20260902/models/C2_model.slx	.worktrees	按位置登记；用途及有效性待逐项核实	2ef3f35254844b351064df98566a45ffbf93cfb6a7f61dde2bf1291f63145921	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/rotating_map_candidate_A_20260902/models/C3_model.slx	.worktrees	按位置登记；用途及有效性待逐项核实	519ad0a4111ef73040419f1cee2573c9aeb9a16c83d0eb5f565bed2ca89e82d2	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/rotating_map_speed55090_20260902/models/C0_model.slx	.worktrees	按位置登记；用途及有效性待逐项核实	ac575ea9d02a6028fd37b3e9b08cbfee1df84bfec0a1526df3dbf6f26f74508d	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/rotating_map_speed55090_20260902/models/C1_model.slx	.worktrees	按位置登记；用途及有效性待逐项核实	e65e0fe9e9218a164065a7cf14c7ef1a11fe95551afa05c3f7d2fe955cd13530	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/rotating_map_speed55090_20260902/models/C2_model.slx	.worktrees	按位置登记；用途及有效性待逐项核实	7b1d200dd87a2fd8484d2a1f93fb1d01e767e6a8f0f981d6cdf11bd0fa7072cc	false	2026-09-07
.worktrees/rotating-map-candidate-a/tmp/rotating_map_speed55090_20260902/models/C3_model.slx	.worktrees	按位置登记；用途及有效性待逐项核实	06eb9ae440c81ef9586e484708c0176562620bd2b9b00a18a13412cc0ab7dbd0	false	2026-09-07
data/provenance/baselines/f8bcd83/final_dynamic_24a.slx	data	按位置登记；用途及有效性待逐项核实	2bed798bcd3d32c15b7771907e8cd5452aa4171a0b87335af7c8769ed6987790	false	2026-09-07
data/provenance/baselines/f8bcd83/final_steady_24a.slx	data	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
final_steady_24a.slx	(root)	当前根稳态源模型；未验收交付	31745b6487234b64938f9b61131910599db75a1b53e3d1099b8585d0b7b4e8aa	true	2026-09-07
tmp/fig519-mainline-preflight.LqgWEk/candidate-output/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	00ca810cbd620335a9c9fca8902deb829ec0d664e61174afba034d740f75b16c	false	2026-09-07
tmp/fig519_reactor_ic_20260831_A1/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	957273d1efcdfea35831dbf81bcd09085c6b4d178f7a8fcc7f1f62bcbecbd24e	false	2026-09-07
tmp/fig519_reactor_ic_20260901_A2/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	1b142a979b4891c833e8625161b1cc75342064326124679458e2d6436f670511	false	2026-09-07
tmp/fixed_protocol_prefix_20260906/run_1000/final_steady_24a.slx	tmp	固定协议1000秒对照副本；运行配置见status.json	31745b6487234b64938f9b61131910599db75a1b53e3d1099b8585d0b7b4e8aa	true	2026-09-07
tmp/fixed_protocol_prefix_20260906/run_500/final_steady_24a.slx	tmp	固定协议500秒对照副本；运行配置见status.json	31745b6487234b64938f9b61131910599db75a1b53e3d1099b8585d0b7b4e8aa	true	2026-09-07
tmp/lineage_contract_debug_01/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	867ee37025a8611e38cd5d06b981d639aef4904f0245afdedf7bc11ae3aa61e9	false	2026-09-07
tmp/nak_enthalpy_0dmtnO/nak_enthalpy_candidate.slx	tmp	历史NaK首次工装目录；旧报告记录仿真前失败	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/nak_enthalpy_ORtGWO/nak_enthalpy_candidate.slx	tmp	历史NaK候选；旧模型来源；本轮未复验	00cda02f2205d094177706b316c65f7c7e4a6dfc0b21c646a67ba6d7fb8ab0ac	false	2026-09-07
tmp/nak_fixed_protocol_20260907/run_500/final_steady_24a.slx	tmp	2026-09-07 NaK 独立500秒候选；未晋升	deadea558023ff751b5e040c030f1448b298716d4529f02962b69afc967d3c70	false	2026-09-07
tmp/precooler_boundary_kd0F3a/s53_precooler_861dc4d1e73.slx	tmp	按位置登记；用途及有效性待逐项核实	4efd235f67681e22ef7ca3f6dbccdc6482bcc974da9d6a5a0375a2cce9e918b5	false	2026-09-07
tmp/precooler_boundary_koK1sm/precooler_boundary_harness.slx	tmp	按位置登记；用途及有效性待逐项核实	3f8fa91f0e950cebde1d68cd0924b8f18c73a80a24825c4515568e966bd28e66	false	2026-09-07
tmp/pressure_closure_4FKFZS/pressure_candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	455b11a5463ab79e546382ad0d18810cb986ac36a87dd1dc23e9526a061c3090	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/APG_fd1p00_two__conservative_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/APG_fd1p00_two__legacy_transfer/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/APG_fd1p00_two__optimistic_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/P95_WG_fd1p45_two__conservative_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/P95_WG_fd1p45_two__legacy_transfer/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/P95_WG_fd1p45_two__optimistic_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/T300_fd1p45_one__conservative_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	45b01b1e46932e8b302b19cd16ded1a50505c39f0a6a83ffcecaebac7f981b65	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/T300_fd1p45_one__optimistic_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/T300_fd1p45_two__conservative_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/T300_fd1p45_two__legacy_transfer/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A1/candidates_500s/T300_fd1p45_two__optimistic_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	0532e9ddf2deb7ef5e40cc1b8e619c44ea7afd36b00d807d118f4cd812a5a391	false	2026-09-07
tmp/radiator_A1_20260830_A2/candidates_500s/APG_fd1p00_two__conservative_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	bbcf3a3f2c6c7b3fc1ba086eb470c1b5ad0f50a10676ca63a2c4af2f5c536575	false	2026-09-07
tmp/radiator_A1_20260830_A2/candidates_500s/APG_fd1p00_two__legacy_transfer/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	f16eba85945a2643acacffe6aff30164f5470f2c679ab629749f50550825f07a	false	2026-09-07
tmp/radiator_A1_20260830_A2/candidates_500s/APG_fd1p00_two__optimistic_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	3f761eeaf2d8083bc57ea42802aac908c09296638c42add8812138877e3efffd	false	2026-09-07
tmp/radiator_A1_20260830_A2/candidates_500s/P95_WG_fd1p45_two__conservative_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	c42c302bb5459a67d866dd95aa60dfadfdbd0974998fc6f0760578cb14e06b45	false	2026-09-07
tmp/radiator_A1_20260830_A2/candidates_500s/P95_WG_fd1p45_two__legacy_transfer/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	568b843037b01a1b3fd1e59d6095deebfe4c727e19ee70c05b425755ef64da51	false	2026-09-07
tmp/radiator_A1_20260830_A2/candidates_500s/P95_WG_fd1p45_two__optimistic_source/candidate.slx	tmp	按位置登记；用途及有效性待逐项核实	e9073bc460835787b14e02f7f17ff68b78aa3cacd87e3fd1b72ddf43065bc7b0	false	2026-09-07
