category	path	blob_oid	size_bytes	evidence	reason
1	HeXe_property_simulink.m	9a782d8bad7cfa28a851ad57526ac246c6663cab	11908	✅ 隔离加载/直接引用已核实	模型内 11 个 MATLAB Function 图表以 coder.extrinsic 直接调用。
1	Lithium_property_simulink.m	bf2bae43ed54469efb621e684ae6838d77712aa7	3224	✅ 隔离加载/直接引用已核实	IHX 两个 MATLAB Function 图表以 coder.extrinsic 直接调用。
1	final_steady_24a.slx	78a9b2d506f20c446794a5f2540703a7075ed1d3	617351	✅ 隔离加载/直接引用已核实	新基线核心模型；隔离目录中成功加载并完成 diagram update。
1	hexe_compressor_lookup.mat	0cad89608647a81977e259a17f3f54ff9c5f545a	26965	✅ 隔离加载/直接引用已核实	start.m 实际加载；向压气机两张二维表提供 speed_bp、m_ratio_bp、PR_table、ETAT_table。
1	paper54_constants.m	519e076818c5ea011e99f91262b49dc923aa6c5e	1649	✅ 隔离加载/直接引用已核实	start.m 实际调用；返回 paper54，但 final_steady_24a.slx 当前不引用该变量，属于入口链中的附带硬依赖。
1	radiator_table.mat	bbd9718b299e3f3a8ea1f5c06afcce91c8fcae34	2567	✅ 隔离加载/直接引用已核实	start.m 实际加载；随后同名辐射器变量会被 sys_param_rad_fixed.m 覆盖，仍是当前入口的硬依赖。
1	start.m	26c7fa1066609890fec24da01eb9740ada3ed3df	306	✅ 隔离加载/直接引用已核实	当前初始化入口；无模型回调时必须由调用者运行，且它无条件加载 4 个 MAT、调用 2 个 M 文件。
1	sys_param_rad_fixed.m	b4f4d696602769d0eaeb609021f21b79b60686c4	658	✅ 隔离加载/直接引用已核实	start.m 实际调用；提供模型直接引用的 A_rad、Cp_rad、M_rad、epsilon、h_h、theta。
1	turbine_table1.mat	0274ebf18629f4b42ca5e857994b889b142f64a6	2088	✅ 隔离加载/直接引用已核实	start.m 实际加载；提供 bp_er、bp_speed、table_mf。
1	turbine_table2.mat	405f1b4f57f66a43f04dc2fe62d366a88cea0ea1	3732	✅ 隔离加载/直接引用已核实	start.m 实际加载；提供 bp_mf、bp_speed、table_eff。
2	.gitignore	2267cea0b65349ff45dddaa7f4a6753ffeefd374	482	✅ 用户保留规则或源证据属性已核实	仓库治理/卫生规则；默认保留。
2	AGENTS.md	598480cf5a8c6397f37dc03f62bff96a0e7e791d	11401	✅ 用户保留规则或源证据属性已核实	用户明确指定的持久治理规则；默认保留。
2	data/provenance/compressor_map/nasa_tmx2269/calibration.json	1cb55132d13342546a0e4d1d3d938a9822bc07b5	3761	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tmx2269/digitized_points.csv	fecaea081f8b72c55e60d762592e7fdce6e2cc24	4813	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tmx2269/overlay_efficiency.png	4b7c3d17e6eb63953c936c5825372418c6bae4cb	525189	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tmx2269/overlay_pressure_ratio.png	882459d4e879f5f7cd50755762e4c1f2bfae5718	736605	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tmx2269/source_page_14.png	ca351bc1e63f3577014d66247904036e67debd79	742626	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tmx2269/source_page_15.png	a43e48175f2706be36f5ddef5c7d54477ec433a0	525553	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tn_d7487/SHA256SUMS.txt	8f6c3f129a938ffed6876854c3520fb4be13808a	593	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tn_d7487/original/README.md	8899f7824ab8c56dd2817250b156cdc3a28090b9	6299	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tn_d7487/original/compressor_program.py	2a421120521899360ac7d7d33be725a6b39c551e	35493	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tn_d7487/original/fortran_transcription.f	42c32c2757ea95219a07b60d3cf85b55ad62666f	16580	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tn_d7487/original/sample_input.json	bbb02d4deb15c7a44e42bf7dccce6d783131be60	606	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tn_d7487/original/test_compressor_program.py	2262b7e5db0f9c5f0127cb391b2522a002a10dd3	17083	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/nasa_tn_d7487/target_input_audit.csv	0ab6dc64582e4b3830465c4399da6a310e13855f	5600	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	data/provenance/compressor_map/source.md	1404a4f9febe056d4a13df266060b48825c6c26e	5889	✅ 用户保留规则或源证据属性已核实	用户明确指定的 data/provenance/ 数字化、校准、叠图、原始程序或 SHA256 溯源材料；默认保留。
2	output/nasa_compressor_pdf/NASA-CR-182263-repaired.pdf	3400ddc4cadb8f3a90f7ab4053ffae234f71e152	2421409	✅ 用户保留规则或源证据属性已核实	NASA 报告的修复版；属于可读性/溯源辅助，默认保留。
