metricName,target,meanValue,relativeError,peakToPeakRel,trendRel,settlingTime_s,metricPass
reactor_inlet_T,1443.27,1430.10375441855,0.00912251039753341,6.71217054353724e-08,6.62170091443191e-08,0,1
reactor_outlet_T,1600,1587.5862024379,0.00775862347631076,7.40178826674764e-08,7.22565602191465e-08,0,1
turbine_inlet_T,1522.96,1515.10963353203,0.00515467672688021,7.28750021427284e-08,7.14462349803265e-08,0,1
turbine_inlet_P,1539000,1538847.17172844,9.93036202448853e-05,4.40596180123503e-05,4.36807280765306e-05,0,1
turbine_outlet_T,1162,1143.73574228496,0.0157179498408303,6.31263104027024e-08,6.1789860178849e-08,Inf,0
turbine_outlet_P,676000,674572.649146003,0.00211146576035032,4.39709541124372e-05,4.35928266405549e-05,0,1
compressor_inlet_T,405.16,397.731120175249,0.0183356694262796,8.21209026779125e-09,8.51574061202848e-09,Inf,0
compressor_inlet_P,658000,656572.649146003,0.00216922622187966,4.51738069604978e-05,4.47853355758929e-05,0,1
compressor_outlet_T,601.9,591.257279607782,0.0176818747170926,1.58856765913367e-08,1.61233221392467e-08,Inf,0
compressor_outlet_P,1551000,1550840.3247681,0.000102949859378986,4.52673514492192e-05,4.48780756304835e-05,0,1
recuperator_hot_outlet_T,663.63,698.056774441813,0.0518764589331593,9.87013845908774e-08,9.2484738036181e-08,Inf,0
recuperator_hot_outlet_P,676000,674572.649146003,0.00211146576035032,4.39709541124372e-05,4.35928266405549e-05,0,1
recuperator_cold_outlet_T,1100.91,1036.82188916739,0.0582137602825014,1.22536444803239e-08,4.37741780175133e-09,Inf,0
recuperator_cold_outlet_P,1543000,1542845.55838771,0.000100091777246974,4.39453999488056e-05,4.38722899934299e-05,0,1
cooler_cold_inlet_T,360.1,353.128208710432,0.0193607089407618,4.2108816208673e-08,3.93303305646489e-08,Inf,0
cooler_cold_outlet_T,609.58,649.593208574715,0.0656406190733215,1.12501862344428e-07,1.05809849570029e-07,Inf,0
reactor_power,2664000,2880386.16883249,0.081226039351535,1.13048631447583e-07,1.03792638571652e-07,Inf,0
turbine_power,2252200,2312375.42226895,0.0267185073567849,1.00867665340452e-07,9.9172740292784e-08,Inf,0
compressor_power,1231600,1206023.01526365,0.0207672821828124,7.2095284756296e-08,7.18469005365577e-08,Inf,0
tac_electric_power,1000210,1084249.20733958,0.0840215628113879,3.0958917158956e-07,3.05549175382765e-07,Inf,0
rotor_speed,55090,55090,0,0,2.02506263362144e-16,0,1
