path,fluid,kind,signPolicy,finalValue,windowMean,windowMin,windowMax,windowPeakToPeakRel,windowTrendRel
final_steady_24a/IHX/IHX_region_1/T_c1_average_Integrator,HeXe,temperature,positive,1443.27978089705,1443.27974103908,1443.27968503214,1443.27978089705,6.642157237797e-08,6.54643809542783e-08
final_steady_24a/IHX/IHX_region_1/T_c2_out_Integrator,HeXe,temperature,positive,1515.10967867008,1515.10963353203,1515.10956768437,1515.10967867008,7.32525955924122e-08,7.18164254371351e-08
final_steady_24a/IHX/IHX_region_1/T_h1_average_Integrator,Lithium,temperature,positive,1563.93585523704,1563.93580769578,1563.93573682002,1563.93585523704,7.57173152171021e-08,7.40131504805953e-08
final_steady_24a/IHX/IHX_region_1/T_h2_out_Integrator,Lithium,temperature,positive,1540.28546076708,1540.28541295375,1540.28534236462,1540.28546076708,7.68704664476053e-08,7.5239568122069e-08
final_steady_24a/IHX/IHX_region_1/T_wall_Integrator,none,temperature,positive,1551.86983498886,1551.86978733132,1551.86971663482,1551.86983498886,7.62654459796207e-08,7.45991534315748e-08
final_steady_24a/IHX/IHX_region_2/T_c1_average_Integrator,HeXe,temperature,positive,1204.13588717963,1204.13586885729,1204.13585088082,1204.13588717963,3.01451079500054e-08,3.12830238870987e-08
final_steady_24a/IHX/IHX_region_2/T_c2_out_Integrator,HeXe,temperature,positive,1371.449883124,1371.44984854648,1371.44980237978,1371.449883124,5.8875085292039e-08,5.84471308121267e-08
final_steady_24a/IHX/IHX_region_2/T_h1_average_Integrator,Lithium,temperature,positive,1485.19462780101,1485.19458368207,1485.19452015398,1485.19462780101,7.24800878694552e-08,7.1194518358395e-08
final_steady_24a/IHX/IHX_region_2/T_h2_out_Integrator,Lithium,temperature,positive,1430.10379483719,1430.10375441855,1430.10369796245,1430.10379483719,6.77396611989855e-08,6.68266358244599e-08
final_steady_24a/IHX/IHX_region_2/T_wall_Integrator,none,temperature,positive,1457.087793356,1457.08775114055,1457.08769124119,1457.087793356,7.00814359108729e-08,6.89826011747609e-08
final_steady_24a/TAC/rotor/N_rpm_Integrator,none,speed,nonnegative,55090,55090,55090,55090,0,2.02506263362144e-16
