section,name,value,units,evidenceGrade,source
input,exceptionT,"992.38742737169468",K,✅,"fixed H1a-S2 exception point"
input,exceptionP,"1007910.8613125964",Pa,✅,"fixed H1a-S2 exception point"
hash,inputMatSha256,"4ea018c7be06c5e577f107970dc2bf549924bf7a9a2989a89bcf1be76e98472b",SHA-256,✅,"read-only source audit"
hash,modelSha256,"5423af38d6bbfc7730529475a6c4d046ef1386ec56782ba465c87dfae82cbf5d",SHA-256,✅,"read-only source audit"
hash,propertySha256,"2490785cba7ae3d1f9bb4d4e52621f7b925945aab0f4f93e1a71b504783f5cf2",SHA-256,✅,"read-only source audit"
hash,paperPdfSha256,"983bfc23712221f30202a47875cbe34c9559edf79b9c332aa20931b6075e4e7a",SHA-256,✅,"read-only source audit"
hash,final_steady_24a.slx,"5423af38d6bbfc7730529475a6c4d046ef1386ec56782ba465c87dfae82cbf5d",SHA-256,✅,"complete protected input hash contract"
hash,HeXe_property_simulink.m,"2490785cba7ae3d1f9bb4d4e52621f7b925945aab0f4f93e1a71b504783f5cf2",SHA-256,✅,"complete protected input hash contract"
hash,hexe_compressor_lookup.mat,"f9c85bc1ae831333fac5f868f15a6f82ea1c1716ee17f23dfb301f4618c9f579",SHA-256,✅,"complete protected input hash contract"
hash,radiator_table.mat,"3f6e8a08f6ec9253b84d07f8eff11d2b093f785bafcfde515f2c6af4ec263304",SHA-256,✅,"complete protected input hash contract"
hash,turbine_table1.mat,"10e72638374c530e2032d9bfe39b060d4181b0467bf69e03196efa0b90c4971d",SHA-256,✅,"complete protected input hash contract"
hash,turbine_table2.mat,"cda85dc4480a7723a0ef52bda0fb6f2795e14dfe1167ac74b38a8d64d5b58c33",SHA-256,✅,"complete protected input hash contract"
hash,fixedInputMat,"4ea018c7be06c5e577f107970dc2bf549924bf7a9a2989a89bcf1be76e98472b",SHA-256,✅,"complete protected input hash contract"
hash,thesisPdf,"983bfc23712221f30202a47875cbe34c9559edf79b9c332aa20931b6075e4e7a",SHA-256,✅,"complete protected input hash contract"
hash,archivePeeledCommit,"8f625c268c35a95c18a626305c1aa6a79ae2ace7",git commit,✅,"archive/pre-restart-20260824"
equationMap,Eq2.7,"pdfPage=33;printedPage=18;sourceLine=86-98;diagnosticPath=densityRoots",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.8,"pdfPage=33;printedPage=18;sourceLine=50-50;diagnosticPath=coefficients.mixtureMolarMass",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.9,"pdfPage=33;printedPage=18;sourceLine=76-76;diagnosticPath=coefficients.B",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.10,"pdfPage=33;printedPage=18;sourceLine=71-71;diagnosticPath=coefficients.B11",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.11,"pdfPage=34;printedPage=19;sourceLine=72-73;diagnosticPath=coefficients.B22",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.12,"pdfPage=34;printedPage=19;sourceLine=74-75;diagnosticPath=coefficients.B12",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.13,"pdfPage=34;printedPage=19;sourceLine=81-83;diagnosticPath=coefficients.C",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.14,"pdfPage=34;printedPage=19;sourceLine=79-80;diagnosticPath=coefficients.C111_C222",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.15,"pdfPage=34;printedPage=19;sourceLine=185-194;diagnosticPath=production.diagnostic.cpMass",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.16,"pdfPage=34;printedPage=19;sourceLine=175-177;diagnosticPath=derivatives.drhoHat_dT",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
equationMap,Eq2.17,"pdfPage=34;printedPage=19;sourceLine=180-182;diagnosticPath=production.diagnostic.cvMolar",,✅,"/Users/ikunsredemptionmac/.config/superpowers/worktrees/不接入转子稳态模型/steady53-14000s/HeXe_property_simulink.m"
thermo,cpMolar,"-119.70556165315989",J/(mol K),✅,"thesis Eq.2.15"
thermo,cvMolar,"-128.01310724372453",J/(mol K),✅,"thesis Eq.2.17"
thermo,gamma,"0.93510394545186781",1,✅,"cp/cv"
thermo,enthalpyCpRelativeError,"7.6443550925738582e-06",1,✅,"fixed-P centered difference plus Richardson"
thermo,cpMinusCvRelativeError,"6.4147352068139697e-15",1,✅,"EOS identity"
cpContribution,ideal,"20.785",J/(mol K),✅,"Task3 contribution decomposition"
cpContribution,BExplicit,"0.012307360778808471",J/(mol K),✅,"Task3 contribution decomposition"
cpContribution,CExplicit,"-140.49131782047081",J/(mol K),✅,"Task3 contribution decomposition"
cpContribution,densityDerivativeB,"-0.0094716638876835065",J/(mol K),✅,"Task3 contribution decomposition"
cpContribution,densityDerivativeC,"-0.0020795295801682677",J/(mol K),✅,"Task3 contribution decomposition"
cpContribution,total,"-119.70556165315986",J/(mol K),✅,"Task3 contribution decomposition"
cvContribution,ideal,"12.471",J/(mol K),✅,"Task3 contribution decomposition"
cvContribution,B,"0.0051294742709014013",J/(mol K),✅,"Task3 contribution decomposition"
cvContribution,C,"-140.48923671799542",J/(mol K),✅,"Task3 contribution decomposition"
cvContribution,total,"-128.01310724372453",J/(mol K),✅,"Task3 contribution decomposition"
thirdVirial,C111.cvMolar,"1.1115556972670182e-06",J/(mol K),✅,"C value/first/second derivative trace"
thirdVirial,C222.cvMolar,"-1.4142424485297649e-07",J/(mol K),✅,"C value/first/second derivative trace"
thirdVirial,C112.cvMolar,"3.3641178440557233",J/(mol K),✅,"C value/first/second derivative trace"
thirdVirial,C122.cvMolar,"-143.8533555321826",J/(mol K),✅,"C value/first/second derivative trace"
scanContract,fixedPressure.searched.cp=0,"searched=true;count=1;status=root",,✅,"adaptive scan completeness contract"
scanContract,fixedPressure.searched.cv=0,"searched=true;count=1;status=root",,✅,"adaptive scan completeness contract"
scanContract,fixedPressure.searched.gamma=1,"searched=true;count=0;status=noRoot",,✅,"adaptive scan completeness contract"
scanContract,fixedPressure.searched.dP/drho=0,"searched=true;count=0;status=noRoot",,✅,"adaptive scan completeness contract"
boundary,fixedPressure.cp=0.1.bracket,"[992.39522972164173,992.40035792676986]",T_K,✅,"adaptive fzero bracket"
boundary,fixedPressure.cp=0.1.root,"992.3980970081318",T_K,✅,"adaptive fzero root"
boundary,fixedPressure.cp=0.1.residual,"-2.8477090078388168e-09",quantity units,✅,"adaptive fzero residual"
boundary,fixedPressure.cp=0.1.rootT_K,"992.3980970081318",K,✅,"adaptive fzero root"
boundary,fixedPressure.cp=0.1.rootP_Pa,"1007910.8613125964",Pa,✅,"adaptive fzero root"
boundary,fixedPressure.cp=0.1.left,"value=-8.3796372394858469;state=negative",quantity units,✅,"one-sided bracket state"
boundary,fixedPressure.cp=0.1.right,"value=4.2051887770780905;state=positive",quantity units,✅,"one-sided bracket state"
boundary,fixedPressure.cv=0.2.bracket,"[992.40035792676986,992.4054861318981]",T_K,✅,"adaptive fzero bracket"
boundary,fixedPressure.cv=0.2.root,"992.40367034763892",T_K,✅,"adaptive fzero root"
boundary,fixedPressure.cv=0.2.residual,"1.3270877374793599e-07",quantity units,✅,"adaptive fzero residual"
boundary,fixedPressure.cv=0.2.rootT_K,"992.40367034763892",K,✅,"adaptive fzero root"
boundary,fixedPressure.cv=0.2.rootP_Pa,"1007910.8613125964",Pa,✅,"adaptive fzero root"
boundary,fixedPressure.cv=0.2.left,"value=-4.1047813426624131;state=negative",quantity units,✅,"one-sided bracket state"
boundary,fixedPressure.cv=0.2.right,"value=1.6047235929768462;state=positive",quantity units,✅,"one-sided bracket state"
discontinuity,fixedPressure.gammaPoleAtCvZero,"gammaPoleAtCvZeroNotGammaEqualsOneRoot;cvCount=1;gammaEqualsOneCount=0;isGammaEqualsOneRoot=false;leftGamma=-4641.6920775394719;rightGamma=4644.0607618043032",,✅,"cv=0 pole classified separately from gamma=1 roots"
scanContract,h1aLowEndPath.searched.cp=0,"searched=true;count=1;status=root",,✅,"adaptive scan completeness contract"
scanContract,h1aLowEndPath.searched.cv=0,"searched=true;count=1;status=root",,✅,"adaptive scan completeness contract"
scanContract,h1aLowEndPath.searched.gamma=1,"searched=true;count=0;status=noRoot",,✅,"adaptive scan completeness contract"
scanContract,h1aLowEndPath.searched.dP/drho=0,"searched=true;count=0;status=noRoot",,✅,"adaptive scan completeness contract"
boundary,h1aLowEndPath.cp=0.1.bracket,"[0.61425675148582171,0.61428025483230442]",lambda,✅,"adaptive fzero bracket"
boundary,h1aLowEndPath.cp=0.1.root,"0.61427357048046893",lambda,✅,"adaptive fzero root"
boundary,h1aLowEndPath.cp=0.1.residual,"-3.843744038334318e-09",quantity units,✅,"adaptive fzero residual"
boundary,h1aLowEndPath.cp=0.1.rootT_K,"992.39809720890275",K,✅,"adaptive fzero root"
boundary,h1aLowEndPath.cp=0.1.rootP_Pa,"1007921.6980528795",Pa,✅,"adaptive fzero root"
boundary,h1aLowEndPath.cp=0.1.left,"value=13.791651145219554;state=positive",quantity units,✅,"one-sided bracket state"
boundary,h1aLowEndPath.cp=0.1.right,"value=-23.458764043479558;state=negative",quantity units,✅,"one-sided bracket state"
boundary,h1aLowEndPath.cv=0.2.bracket,"[0.61425675148582171,0.61428025483230442]",lambda,✅,"adaptive fzero bracket"
boundary,h1aLowEndPath.cv=0.2.root,"0.61426702062376992",lambda,✅,"adaptive fzero root"
boundary,h1aLowEndPath.cv=0.2.residual,"2.9880986573971313e-10",quantity units,✅,"adaptive fzero residual"
boundary,h1aLowEndPath.cv=0.2.rootT_K,"992.40367076133612",K,✅,"adaptive fzero root"
boundary,h1aLowEndPath.cv=0.2.rootP_Pa,"1007927.3587896832",Pa,✅,"adaptive fzero root"
boundary,h1aLowEndPath.cv=0.2.left,"value=5.4811617002449218;state=positive",quantity units,✅,"one-sided bracket state"
boundary,h1aLowEndPath.cv=0.2.right,"value=-31.767873979307243;state=negative",quantity units,✅,"one-sided bracket state"
discontinuity,h1aLowEndPath.gammaPoleAtCvZero,"gammaPoleAtCvZeroNotGammaEqualsOneRoot;cvCount=1;gammaEqualsOneCount=0;isGammaEqualsOneRoot=false;leftGamma=966.32907584345082;rightGamma=-963.267501271789",,✅,"cv=0 pole classified separately from gamma=1 roots"
boundary,C111ZeroT,"992.38240920882117",K,✅,"adaptive C111 root and one-sided states"
boundary,C111Residual,"0",m6/mol2,✅,"C111 correlation"
discontinuity,C111.oneSidedClassification,"C111ZeroAndMixedThirdVirialDerivativeDiscontinuity;treatment=isolatedFromRootBracketsAndRecordedWithOneSidedAdaptiveStates",,✅,"mixed third-Virial derivative discontinuity"
discontinuity,C111.neighborhoodOffsets_K,"[1e-08,2.9999999999999997e-08,9.9999999999999995e-08,2.9999999999999999e-07,9.9999999999999995e-07,3.0000000000000001e-06,1.0000000000000001e-05,3.0000000000000001e-05,0.0001,0.00029999999999999997,0.001,0.0030000000000000001,0.01,0.029999999999999999,0.10000000000000001]",K,✅,"adaptive one-sided offsets"
discontinuity,C111.leftCpMolar,"[455987326315.08258,73081454809.739868,9827285763.2936668,1575278626.8423407,211881033.14342901,33974492.006520875,4572056.5619747313,733640.09084189695,98855.953851660233,15903.238490403,2165.6075612983518,366.54098643321026,67.713914073828036,28.402252091041674,21.831841262000239]",J/(mol K),✅,"positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive"
discontinuity,C111.rightCpMolar,"[-455719019197.7074,-73026508295.026611,-9815116893.0441589,-1572415472.5902393,-211303548.19986439,-33840882.60574095,-4545185.4857869903,-727397.51132191869,-97569.05944048021,-15573.860671180286,-2066.240758071403,-311.61229552224648,-23.458320264925426,13.792002944476762,19.86767469945098]",J/(mol K),✅,"negative,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative,positive,positive"
verdict,implementation_error,"not_supported",,❌,"equation mapping, independent finite differences, production parity, enthalpy derivative and EOS identity all agree"
verdict,density_root_error,"not_supported",,❌,"unique stable positive real root matches production Newton root"
verdict,direct_paper_correlation_nonphysical,"supported",,✅,"formula-consistent direct thesis correlation is nonphysical"
verdict,authorizesRepair,"false",,✅,"read-only H2 scope"
